feature,mean_abs_shap
elo_expectation_home,0.299754566607477
elo_delta,0.10138316553190507
sos10_delta,0.04057972638426871
travel_delta,0.030683531135349724
experience_delta,0.02928059291114454
away_sos20_opp_elo,0.028551694661546473
form20_ga_pg_delta,0.02555023249789366
away_experience,0.024127511004163507
home_sos20_opp_elo,0.019334418876664736
h2h10_gd,0.018021547740892783
year,0.017452089411137982
importance,0.017364549341560915
is_qualifier,0.014905755213787132
momentum_gd_delta,0.014310672714143756
away_form20_ga_pg,0.014189647239563785
h2h10_weighted_score,0.013502182212113698
away_sos5_opp_elo,0.011687967776948919
home_sos10_opp_elo,0.011627727481297381
form20_gd_delta,0.011374430973698002
home_form20_ga_pg,0.011041712019335728
neutral,0.01040143531037458
h2h10_avg_goals,0.010185932204860996
form10_ga_pg_delta,0.01007093394418064
form20_ppg_delta,0.009880189601321268
home_travel_km,0.009476652152611528
away_travel_km,0.008655937513380695
away_sos10_opp_elo,0.007870236692229748
h2h5_gd,0.007743298300228171
home_form20_gf_pg,0.0077381658775606856
away_elo,0.007119660018601903
home_sos20_elo_gap,0.007118015324791805
h2h_total_meetings,0.0068660868903670375
form3_gd_delta,0.006656697725943505
home_recent_importance,0.0066177263343368525
away_tz_diff,0.0064435618622157
home_sos5_opp_elo,0.006216292621497776
away_sos20_elo_gap,0.006162993042699058
home_matches_last_365d,0.006097042570691242
form10_gf_pg_delta,0.005968125342376669
home_experience,0.0058932273868827125
away_rest_days,0.005867023940453997
away_form20_gf,0.005688619281280889
away_recent_importance,0.005628979159022312
momentum_points_delta,0.005409326767369589
form20_gf_pg_delta,0.005409193688420758
form5_gf_pg_delta,0.005326839500284005
h2h3_gd,0.005323788845306428
away_form20_gf_pg,0.005263614632795841
home_elo,0.005254611266849361
form5_ga_pg_delta,0.004898194777423223
